order_id,order_date,customer_id,customer_name,region,country,category,product,quantity,unit_price,discount,payment_method,gross_sales,discount_amount,revenue,estimated_cost,profit,profit_margin,order_month,order_year,order_year_month
101436,2024-09-10,C01991,Customer 1991,West,India,Books,Business Book,1,26.99,0.106,Credit Card,26.99,2.8609,24.1291,14.96,9.169,0.38,9,2024,2024-09
107197,2024-09-10,C01048,Customer 1048,East,India,Electronics,Bluetooth Speaker,3,77.22,0.068,Wallet,231.66,15.7529,215.9071,155.4531,60.454,0.28,9,2024,2024-09
105824,2024-09-10,C03284,Customer 3284,Central,India,Electronics,Laptop,1,783.61,0.15,Debit Card,783.61,117.5415,666.0685,479.5693,186.4992,0.28,9,2024,2024-09
112509,2024-09-10,C01143,Customer 1143,South,India,Sports,Running Shoes,2,88.06,0.108,Debit Card,176.12,19.021,157.099,91.1174,65.9816,0.42,9,2024,2024-09
102368,2024-09-10,C00046,Customer 46,North,India,Home & Kitchen,Vacuum Cleaner,1,217.48,0.092,UPI,217.48,20.0082,197.4718,128.3567,69.1151,0.35,9,2024,2024-09
109711,2024-09-10,C01647,Customer 1647,East,India,Sports,Football,1,32.27,0.056,Credit Card,32.27,1.8071,30.4629,17.6685,12.7944,0.42,9,2024,2024-09
111705,2024-09-10,C03334,Customer 3334,South,India,Electronics,Smartwatch,1,192.39,0.161,Debit Card,192.39,30.9748,161.4152,116.219,45.1963,0.28,9,2024,2024-09
114628,2024-09-10,C01776,Customer 1776,West,India,Clothing,T-Shirt,3,26.45,0.134,Credit Card,79.35,10.6329,68.7171,37.7944,30.9227,0.45,9,2024,2024-09
108771,2024-09-10,C02272,Customer 2272,South,India,Electronics,Smartwatch,2,186.98,0.165,Wallet,373.96,61.7034,312.2566,224.8248,87.4318,0.28,9,2024,2024-09
112433,2024-09-10,C01089,Customer 1089,East,India,Electronics,Wireless Headphones,2,73.14,0.136,Credit Card,146.28,19.8941,126.3859,90.9979,35.3881,0.28,9,2024,2024-09
106175,2024-09-10,C01198,Customer 1198,West,India,Home & Kitchen,Air Fryer,1,111.29,0.076,UPI,111.29,8.458,102.832,66.8408,35.9912,0.35,9,2024,2024-09
116318,2024-09-10,C00355,Customer 355,South,India,Clothing,Sneakers,1,95.13,0.0,Credit Card,95.13,0.0,95.13,52.3215,42.8085,0.45,9,2024,2024-09
105667,2024-09-10,C00935,Customer 935,West,India,Electronics,Smartphone,1,627.56,0.067,Wallet,627.56,42.0465,585.5135,421.5697,163.9438,0.28,9,2024,2024-09
119611,2024-09-10,C02737,Customer 2737,Central,India,Electronics,Bluetooth Speaker,1,79.07,0.083,Credit Card,79.07,6.5628,72.5072,52.2052,20.302,0.28,9,2024,2024-09
102487,2024-09-10,C01768,Customer 1768,North,India,Sports,Football,1,30.44,0.001,Credit Card,30.44,0.0304,30.4096,17.6375,12.772,0.42,9,2024,2024-09
115871,2024-09-10,C01510,Customer 1510,Central,India,Electronics,Smartphone,2,565.61,0.092,Credit Card,1131.22,104.0722,1027.1478,739.5464,287.6014,0.28,9,2024,2024-09
108318,2024-09-10,C03402,Customer 3402,East,India,Sports,Football,2,34.44,0.155,UPI,68.88,10.6764,58.2036,33.7581,24.4455,0.42,9,2024,2024-09
113432,2024-09-10,C02741,Customer 2741,South,India,Home & Kitchen,Table Lamp,1,48.3,0.137,Wallet,48.3,6.6171,41.6829,27.0939,14.589,0.35,9,2024,2024-09
110103,2024-09-10,C02965,Customer 2965,West,India,Books,Data Science Book,2,47.33,0.244,UPI,94.66,23.097,71.563,44.369,27.1939,0.38,9,2024,2024-09
100754,2024-09-11,C01749,Customer 1749,East,India,Home & Kitchen,Coffee Maker,2,87.81,0.096,Net Banking,175.62,16.8595,158.7605,103.1943,55.5662,0.35,9,2024,2024-09
108477,2024-09-11,C03259,Customer 3259,Central,India,Sports,Running Shoes,1,85.07,0.088,Net Banking,85.07,7.4862,77.5838,44.9986,32.5852,0.42,9,2024,2024-09
104882,2024-09-11,C01789,Customer 1789,Central,India,Clothing,Sneakers,1,95.94,0.22,Debit Card,95.94,21.1068,74.8332,41.1583,33.6749,0.45,9,2024,2024-09
105094,2024-09-11,C00896,Customer 896,North,India,Home & Kitchen,Coffee Maker,1,77.15,0.114,UPI,77.15,8.7951,68.3549,44.4307,23.9242,0.35,9,2024,2024-09
104043,2024-09-11,C02985,Customer 2985,West,India,Electronics,Bluetooth Speaker,2,75.09,0.115,Net Banking,150.18,17.2707,132.9093,95.6947,37.2146,0.28,9,2024,2024-09
107349,2024-09-11,C02868,Customer 2868,Central,India,Electronics,Smartwatch,2,182.9,0.043,UPI,365.8,15.7294,350.0706,252.0508,98.0198,0.28,9,2024,2024-09
118548,2024-09-11,C01001,Customer 1001,Central,India,Sports,Tennis Racket,3,107.97,0.026,Credit Card,323.91,8.4217,315.4883,182.9832,132.5051,0.42,9,2024,2024-09
100593,2024-09-11,C00328,Customer 328,East,India,Home & Kitchen,Table Lamp,1,46.05,0.064,UPI,46.05,2.9472,43.1028,28.0168,15.086,0.35,9,2024,2024-09
114044,2024-09-11,C01762,Customer 1762,East,India,Sports,Tennis Racket,2,95.57,0.145,Credit Card,191.14,27.7153,163.4247,94.7863,68.6384,0.42,9,2024,2024-09
111402,2024-09-11,C00412,Customer 412,North,India,Clothing,Backpack,3,47.97,0.189,Net Banking,143.91,27.199,116.711,64.1911,52.52,0.45,9,2024,2024-09
106217,2024-09-11,C02016,Customer 2016,South,India,Clothing,Sneakers,1,83.62,0.032,UPI,83.62,2.6758,80.9442,44.5193,36.4249,0.45,9,2024,2024-09
113449,2024-09-11,C01485,Customer 1485,North,India,Books,Self Help Book,1,23.89,0.072,Debit Card,23.89,1.7201,22.1699,13.7454,8.4246,0.38,9,2024,2024-09
115710,2024-09-11,C00345,Customer 345,South,India,Electronics,Smartwatch,1,181.65,0.0,UPI,181.65,0.0,181.65,130.788,50.862,0.28,9,2024,2024-09
102765,2024-09-11,C00392,Customer 392,South,India,Electronics,Laptop,1,775.66,0.165,UPI,775.66,127.9839,647.6761,466.3268,181.3493,0.28,9,2024,2024-09
108093,2024-09-11,C00112,Customer 112,South,India,Electronics,Bluetooth Speaker,1,63.23,0.113,Debit Card,63.23,7.145,56.085,40.3812,15.7038,0.28,9,2024,2024-09
110705,2024-09-11,C01658,Customer 1658,North,India,Electronics,Smartphone,4,738.92,0.098,Wallet,2955.68,289.6566,2666.0234,1919.5368,746.4865,0.28,9,2024,2024-09
109894,2024-09-11,C02407,Customer 2407,West,India,Books,Self Help Book,2,22.16,0.137,Credit Card,44.32,6.0718,38.2482,23.7139,14.5343,0.38,9,2024,2024-09
100212,2024-09-11,C00637,Customer 637,West,India,Clothing,Jacket,1,114.57,0.114,UPI,114.57,13.061,101.509,55.83,45.6791,0.45,9,2024,2024-09
115504,2024-09-11,C00618,Customer 618,West,India,Books,Python Book,2,36.15,0.188,Wallet,72.3,13.5924,58.7076,36.3987,22.3089,0.38,9,2024,2024-09
104390,2024-09-11,C02738,Customer 2738,North,India,Clothing,Backpack,4,46.89,0.138,Credit Card,187.56,25.8833,161.6767,88.9222,72.7545,0.45,9,2024,2024-09
